outer_repeat,outer_fold,model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
1,5,elastic_net,0.2,1.0,0.6122135055419843,0.022568332348166215,6.2
1,5,elastic_net,0.5,0.5,0.6124659889718724,0.05520251305544865,9.2
1,5,elastic_net,0.5,1.0,0.6126005895864672,0.05012532279417932,8.2
1,5,elastic_net,0.1,0.8,0.6141456203413804,0.00999501289216463,3.0
1,5,elastic_net,0.5,0.2,0.6151801609699634,0.059061247648611946,9.4
1,5,elastic_net,0.01,0.5,0.6182786863117202,0.008889018372902428,0.0
1,5,elastic_net,0.01,1.0,0.6184137577054545,0.0027013715179762783,0.0
1,5,elastic_net,0.005,1.0,0.6184365640997603,0.0026886709849297777,0.0
1,5,elastic_net,0.001,1.0,0.6184511042502663,0.0026808980706334827,0.0
1,5,elastic_net,0.002,1.0,0.6184529123180893,0.0026797738854916534,0.0
1,5,elastic_net,0.01,0.8,0.6234831727586245,0.00744694954894013,0.0
1,5,elastic_net,1.0,1.0,0.6267332333983835,0.0656729711107823,9.2
1,5,elastic_net,1.0,0.8,0.6278543334198738,0.06708313736045883,9.2
1,5,elastic_net,1.0,0.5,0.6297066288547701,0.06908745149670047,9.2
1,5,elastic_net,0.005,0.8,0.6311065906826924,0.0018693001091542672,0.0
1,5,elastic_net,1.0,0.2,0.6317109673506327,0.07096070701018711,9.4
1,5,elastic_net,0.005,0.5,0.6318533407510728,0.0018273537501015005,0.0
